,mint_region,date_of_origin,material,condition,sold_price
1,Asia Minor,-390,Electrum,VF,1500
2,Asia Minor,-390,Electrum,VF,850
3,Western Europe,-445,Silver,VF,190
4,Western Europe,-410,Bronze,VF,275
5,Western Europe,-283.5,Bronze,VF,110
6,Western Europe,-283.5,Bronze,VF,150
7,Greece / Balkans,-323,Silver,VF,350
8,Greece / Balkans,-173.5,Bronze,VF,130
9,Asia Minor,-92.5,Bronze,Near VF,70
10,Asia Minor,-380,Silver,Near VF,275
11,Egypt / North Africa,-234,Bronze,VF,250
12,Egypt / North Africa,-112.5,Silver,VF,190
13,Western Europe,-75,Bronze,VF,225
14,Levant / Near East,214.5,Silver,Near VF,130
15,Western Europe,-75,Bronze,VF,140
16,Levant / Near East,219,Silver,VF,110
17,Levant / Near East,239,Silver,Near VF,130
18,Levant / Near East,217.5,Silver,VF,70
19,Egypt / North Africa,47.5,Bronze,VF,160
20,Egypt / North Africa,97,Billon,VF,180
21,Egypt / North Africa,107.5,Billon,Near Fine,90
22,Egypt / North Africa,238,Billon,Near VF,80
23,Egypt / North Africa,242.5,Billon,Near Fine,70
24,Western Europe,82.5,Silver,Near VF,275
25,Western Europe,220,Silver,Near VF,100
26,Western Europe,220,Silver,Near VF,60
27,Western Europe,-282.5,Bronze,VF,100
28,Greece / Balkans,-267.5,Silver,Near VF,475
29,Greece / Balkans,-280,Bronze,Near VF,250
30,Greece / Balkans,-200,Bronze,Near Fine,60
31,Asia Minor,-92.5,Bronze,Near VF,160
32,Asia Minor,-465,Silver,VF,160
33,Levant / Near East,-293.5,Silver,VF,350
34,Egypt / North Africa,-265.5,Bronze,VF,90
35,Egypt / North Africa,-192,Bronze,Near VF,90
36,Egypt / North Africa,-130.5,Bronze,VF,100
37,Western Europe,-75,Bronze,VF,325
38,Levant / Near East,249,Billon,VF,45
39,Levant / Near East,251,Billon,VF,45
40,Levant / Near East,215.5,Bronze,Fine,130
41,Egypt / North Africa,127.5,Bronze,Fine,180
42,Egypt / North Africa,145.5,Billon,VF,110
43,Egypt / North Africa,244.5,Billon,VF,140
44,Egypt / North Africa,262.5,Billon,VF,100
45,Egypt / North Africa,265.5,Billon,Near VF,70
46,Egypt / North Africa,265.5,Billon,Near VF,80
47,Egypt / North Africa,279,Billon,Near VF,60
48,Egypt / North Africa,284.5,Billon,VF,80
49,Western Europe,-387.5,Silver,Near VF,450
50,Western Europe,-481.5,Silver,Near VF,1800
51,Western Europe,-283.5,Bronze,VF,300
52,Greece / Balkans,-323,Silver,VF,425
53,Greece / Balkans,-323,Silver,Near VF,250
54,Greece / Balkans,-296.5,Silver,Near VF,275
55,Greece / Balkans,-247.5,Silver,Near VF,500
56,Greece / Balkans,-324.5,Bronze,VF,60
57,Greece / Balkans,-174,Silver,XF,3000
58,Asia Minor,-208.5,Silver,VF,100
59,Asia Minor,-465,Silver,VF,60
60,Asia Minor,-325,Silver,Fine,140
61,Levant / Near East,-30.5,Silver,VF,1500
62,Egypt / North Africa,-311.5,Billon,Fine,140
63,Egypt / North Africa,-253,Bronze,VF,100
64,Western Europe,-263.5,Bronze,Near XF,350
65,Levant / Near East,-255.5,Silver,Near VF,750
66,Egypt / North Africa,-234,Bronze,VF,180
67,Egypt / North Africa,-234,Bronze,Near VF,90
68,Egypt / North Africa,-219,Bronze,Near VF,140
69,Egypt / North Africa,-202.5,Bronze,Near VF,140
70,Egypt / North Africa,-202.5,Bronze,Near Fine,80
71,Levant / Near East,219,Billon,XF,90
72,Levant / Near East,244,Billon,AU,100
73,Levant / Near East,248,Billon,VF,60
74,Egypt / North Africa,226.5,Billon,VF,100
75,Egypt / North Africa,244,Billon,VF,100
76,Egypt / North Africa,259.5,Billon,VF,100
77,Egypt / North Africa,264.5,Billon,Near VF,130
78,Western Europe,-105,Silver,VF,180
79,Western Europe,-410.5,Bronze,VF,120
80,Western Europe,-410.5,Bronze,VF,250
81,Greece / Balkans,-296.5,Silver,VF,300
82,Greece / Balkans,-267.5,Silver,Near VF,425
83,Greece / Balkans,-323,Silver,VF,180
84,Egypt / North Africa,-275.5,Bronze,VF,275
85,Egypt / North Africa,-253.5,Bronze,Near VF,190
86,Levant / Near East,-255.5,Silver,VF,325
87,Levant / Near East,-248.5,Silver,Near VF,300
88,Levant / Near East,-265.5,Bronze,Near VF,110
89,Egypt / North Africa,-233.5,Bronze,Near VF,250
90,Egypt / North Africa,-233.5,Bronze,Near VF,225
91,Egypt / North Africa,-213.5,Bronze,VF,50
92,Levant / Near East,-199,Silver,Near XF,400
93,Western Europe,-75,Bronze,VF,375
94,Levant / Near East,62.5,Silver,Near Fine,150
95,Levant / Near East,146,Bronze,VF,120
96,Levant / Near East,244,Billon,VF,110
97,Levant / Near East,248.5,Billon,VF,50
98,Egypt / North Africa,270,Billon,VF,200
99,Egypt / North Africa,273.5,Billon,Near VF,60
100,Egypt / North Africa,275,Billon,Near VF,80
101,Egypt / North Africa,282.5,Billon,VF,80
102,Egypt / North Africa,282.5,Billon,Near VF,80
103,Egypt / North Africa,287.5,Billon,VF,130
104,Western Europe,-212.5,Bronze,Near VF,150
105,Western Europe,-481.5,Silver,Near VF,325
106,Western Europe,-410.5,Bronze,Near VF,500
107,Greece / Balkans,-267.5,Silver,VF,200
108,Greece / Balkans,-267.5,Silver,Choice XF,650
109,Egypt / North Africa,-234.5,Bronze,Near VF,500
110,Egypt / North Africa,-106.5,Silver,Near VF,325
111,Egypt / North Africa,-33.5,Silver,Fine,140
112,Egypt / North Africa,-40.5,Bronze,Near Fine,1300
113,Egypt / North Africa,-40.5,Bronze,Fine,600
114,Greece / Balkans,228.5,Bronze,XF,200
115,Asia Minor,207.5,Bronze,Near VF,450
116,Levant / Near East,96.5,Silver,VF,425
117,Levant / Near East,247,Billon,AU,110
118,Levant / Near East,244,Billon,VF,60
119,Egypt / North Africa,52.5,Bronze,VF,160
120,Egypt / North Africa,52.5,Bronze,VF,80
121,Egypt / North Africa,52.5,Bronze,Near VF,60
122,Egypt / North Africa,83.5,Bronze,Near VF,80
123,Egypt / North Africa,106.5,Bronze,Near VF,225
124,Egypt / North Africa,107.5,Bronze,Near Fine,140
125,Egypt / North Africa,138.5,Bronze,Near VF,60
126,Egypt / North Africa,260.5,Billon,Near VF,60
127,Western Europe,114,Billon,Fine,140
128,Western Europe,-300,Silver,VF,350
129,Western Europe,252.5,Bronze,VF,150
130,Western Europe,328.5,Bronze,VF,170
131,Western Europe,-216.5,Silver,Near VF,2500
132,Greece / Balkans,-281,Silver,VF,325
133,Greece / Balkans,-41.5,Bronze,Fine,190
134,Asia Minor,-92.5,Bronze,Near VF,140
135,Asia Minor,-345,Silver,VF,550
136,Asia Minor,-63.5,Bronze,Near VF,100
137,Levant / Near East,-126.5,Silver,VF,150
138,Levant / Near East,-86.5,Silver,Choice VF,1000
139,Levant / Near East,-83.5,Silver,VF,1300
140,Levant / Near East,32.5,Silver,VF,1600
141,Egypt / North Africa,-252.5,Bronze,VF,200
142,Egypt / North Africa,-234.5,Bronze,VF,110
143,Egypt / North Africa,-192,Bronze,VF,160
144,Levant / Near East,-155.5,Silver,VF,160
145,Egypt / North Africa,-108.5,Silver,VF,150
146,Egypt / North Africa,-97.5,Silver,VF,140
147,Egypt / North Africa,-52.5,Silver,VF,170
148,Egypt / North Africa,-40.5,Bronze,Near VF,900
149,Egypt / North Africa,-40.5,Bronze,Near Fine,1300
150,Asia Minor,210,Bronze,VF,130
151,Asia Minor,60,Bronze,Near VF,110
152,Asia Minor,25.5,Bronze,Near VF,150
153,Levant / Near East,62.5,Silver,Near VF,950
154,Levant / Near East,247,Billon,Near VF,60
155,Levant / Near East,248,Billon,Near VF,80
156,Levant / Near East,250,Billon,XF,150
157,Levant / Near East,252.5,Billon,Near VF,225
158,Levant / Near East,149.5,Bronze,Near Fine,60
159,Levant / Near East,107.5,Billon,Near VF,450
160,Levant / Near East,216,Billon,VF,140
161,Levant / Near East,217.5,Billon,VF,425
162,Western Europe,-105,Silver,VF,250
163,Western Europe,-57,Silver,VF,130
164,Western Europe,-41,Silver,VF,190
165,Steppe / Black Sea,-50,Gold,Near XF,1700
166,Asia Minor,-465,Silver,VF,80
167,Levant / Near East,-22.5,Bronze,Near VF,60
168,Levant / Near East,-265.5,Bronze,Near VF,120
169,Levant / Near East,-234.5,Bronze,Near VF,70
170,Asia Minor,-242.5,Bronze,Near VF,80
171,Egypt / North Africa,-192,Silver,Near VF,650
172,Egypt / North Africa,-148.5,Bronze,Near VF,90
173,Egypt / North Africa,-148.5,Bronze,Near VF,80
174,Egypt / North Africa,-80.5,Silver,Near VF,150
175,Egypt / North Africa,-52.5,Silver,VF,110
176,Egypt / North Africa,-40.5,Bronze,Near Fine,850
177,Asia Minor,250,Bronze,Near VF,100
178,Asia Minor,127.5,Bronze,VF,160
179,Levant / Near East,217.5,Billon,VF,130
180,Levant / Near East,217.5,Billon,VF,100
181,Western Europe,246,Billon,XF,425
182,Levant / Near East,248.5,Billon,Near VF,425
183,Levant / Near East,249.5,Billon,Near VF,300
184,Levant / Near East,250,Billon,Near VF,130
185,Levant / Near East,250,Billon,Near VF,500
186,Levant / Near East,250.2,Billon,Near XF,500
187,Levant / Near East,216,Billon,XF,160
188,Levant / Near East,217.5,Billon,Near VF,475
189,Levant / Near East,149.5,Bronze,Near Fine,60
190,Levant / Near East,70.5,Silver,Near VF,600
191,Levant / Near East,70.5,Silver,Near Fine,80
192,Egypt / North Africa,266.5,Potin,Near VF,60
193,Western Europe,-10,Bronze,VF,140
194,Levant / Near East,66,Silver,Near VF,275
195,Levant / Near East,246.5,Billon,Near Fine,20
196,Egypt / North Africa,241,Billon,VF,85
197,Egypt / North Africa,269,Billon,Near VF,40
198,Egypt / North Africa,272.5,Potin,Near VF,30
199,Western Europe,-57,Silver,VF,325
200,Western Europe,-55,Silver,VF,170
